板块,A股代码,A股简称,A股上市日期,A股总股本,A股流通股本,所属行业
主板,000525,红太阳,1993-10-28,"1,298,027,341","990,093,339",C 制造业
主板,000526,学大教育,1993-11-01,"121,861,109","119,440,059",P 教育
主板,000528,柳    工,1993-11-18,"2,030,112,705","2,028,917,419",C 制造业
主板,000529,广弘控股,1993-11-18,"583,790,330","569,884,377",C 制造业
主板,000530,冰山冷热,1993-12-08,"601,712,507","600,116,725",C 制造业
主板,000531,穗恒运Ａ,1994-01-06,"1,041,401,332","909,745,488",D 水电煤气
主板,000532,华金资本,1994-01-03,"344,708,340","343,549,746",S 综合
主板,000533,顺钠股份,1994-01-03,"690,816,000","684,902,400",C 制造业
主板,000534,万泽股份,1994-01-10,"509,835,816","497,858,491",C 制造业
主板,000536,华映科技,1993-11-26,"2,766,032,803","2,763,082,516",C 制造业
主板,000537,中绿电,1993-12-10,"2,066,602,352","2,066,596,952",D 水电煤气
主板,000538,云南白药,1993-12-15,"1,784,262,603","1,772,941,620",C 制造业
主板,000539,粤电力Ａ,1993-11-26,"4,451,875,986","2,553,912,699",D 水电煤气
主板,000541,佛山照明,1993-11-23,"1,232,104,992","1,230,514,221",C 制造业
主板,000543,皖能电力,1993-12-20,"2,266,863,331","2,266,863,331",D 水电煤气
主板,000544,中原环保,1993-12-08,"974,684,488","974,684,488",D 水电煤气
主板,000545,金浦钛业,1993-12-15,"986,833,096","985,403,096",C 制造业
主板,000546,金圆股份,1993-12-15,"777,648,262","696,705,206",C 制造业
主板,000547,航天发展,1993-11-30,"1,598,468,269","1,588,350,696",C 制造业
主板,000548,湖南投资,1993-12-20,"499,215,811","499,173,999",G 运输仓储
主板,000550,江铃汽车,1993-12-01,"519,214,000","518,463,160",C 制造业
主板,000551,创元科技,1994-01-06,"484,733,046","482,982,356",C 制造业
主板,000552,甘肃能化,1994-01-06,"5,351,808,965","3,725,777,306",B 采矿业
主板,000553,安道麦A,1993-12-03,"2,177,071,961","2,177,071,961",C 制造业
主板,000554,泰山石油,1993-12-15,"480,793,318","362,653,197",F 批发零售
主板,000555,神州信息,1994-04-08,"975,774,437","974,631,587",I 信息技术
主板,000557,西部创业,1994-06-17,"1,458,374,735","1,457,916,198",G 运输仓储
主板,000558,天府文旅,1994-05-09,"1,289,223,949","1,288,684,608",K 房地产
主板,000559,万向钱潮,1994-01-10,"3,303,791,344","3,303,778,789",C 制造业
主板,000560,我爱我家,1994-02-02,"2,355,500,851","2,255,938,469",K 房地产
主板,000561,烽火电子,1994-05-09,"864,018,238","601,734,618",C 制造业
主板,000563,陕国投Ａ,1994-01-10,"5,113,970,358","5,113,970,358",J 金融业
主板,000564,供销大集,1994-01-10,"18,058,063,354","14,715,017,084",F 批发零售
主板,000565,渝三峡Ａ,1994-04-08,"433,592,220","433,572,720",C 制造业
主板,000566,海南海药,1994-05-25,"1,297,365,126","1,165,894,733",C 制造业
主板,000567,海德股份,1994-05-25,"1,954,592,155","1,949,408,747",J 金融业
主板,000568,泸州老窖,1994-05-09,"1,471,951,503","1,469,164,883",C 制造业
主板,000570,苏常柴Ａ,1994-07-01,"555,692,507","555,692,507",C 制造业
主板,000571,新大洲A,1994-05-25,"839,129,000","813,992,075",B 采矿业
主板,000572,海马汽车,1994-08-08,"1,644,636,426","1,642,253,067",C 制造业
主板,000573,粤宏远Ａ,1994-08-15,"638,280,604","632,964,819",K 房地产
主板,000576,甘化科工,1994-09-07,"436,418,214","433,815,261",C 制造业
主板,000581,威孚高科,1998-09-24,"794,405,693","793,905,299",C 制造业
主板,000582,北部湾港,1995-11-02,"2,369,654,576","1,853,378,213",G 运输仓储
主板,000586,汇源通信,1995-12-20,"193,440,000","191,190,000",C 制造业
主板,000589,贵州轮胎,1996-03-08,"1,554,688,404","1,537,166,004",C 制造业
主板,000590,启迪药业,1996-01-19,"239,471,267","239,371,427",C 制造业
主板,000591,太阳能,1996-02-08,"3,919,424,093","3,918,872,168",D 水电煤气
主板,000592,平潭发展,1996-03-27,"1,931,780,892","1,915,092,449",C 制造业
主板,000593,德龙汇能,1996-03-12,"358,631,009","358,483,169",D 水电煤气
主板,000595,*ST宝实,1996-04-19,"1,138,656,366","1,138,656,366",C 制造业
主板,000596,古井贡酒,1996-09-27,"408,600,000","408,600,000",C 制造业
主板,000597,东北制药,1996-05-23,"1,427,088,265","1,409,163,737",C 制造业
主板,000598,兴蓉环境,1996-05-29,"2,984,434,721","2,979,245,221",D 水电煤气
主板,000599,青岛双星,1996-04-30,"816,758,987","816,745,112",C 制造业
主板,000600,建投能源,1996-06-06,"1,809,299,376","1,090,050,876",D 水电煤气
主板,000601,韶能股份,1996-08-30,"1,080,551,669","1,080,460,052",D 水电煤气
主板,000603,盛达资源,1996-08-23,"689,969,346","666,716,359",B 采矿业
主板,000605,渤海股份,1996-09-13,"352,658,600","352,658,600",D 水电煤气
主板,000607,华媒控股,1996-08-30,"1,017,698,410","885,033,444",L 商务服务
主板,000608,*ST阳光,1996-09-19,"749,913,309","744,536,959",K 房地产
主板,000609,ST中迪,1996-10-10,"299,265,522","291,058,272",S 综合
主板,000610,西安旅游,1996-09-26,"236,747,901","235,504,294",L 商务服务
主板,000612,焦作万方,1996-09-26,"1,192,199,394","1,191,160,394",C 制造业
主板,000615,*ST美谷,1996-10-16,"762,979,719","762,500,287",Q 卫生
主板,000617,中油资本,1996-10-22,"12,642,079,079","12,642,079,079",J 金融业
主板,000619,海螺新材,1996-10-23,"441,168,831","360,000,000",C 制造业
主板,000620,盈新发展,1996-10-29,"5,871,815,040","4,671,748,815",K 房地产
主板,000623,吉林敖东,1996-10-28,"1,195,895,387","1,191,023,393",C 制造业
主板,000625,长安汽车,1997-06-10,"8,272,471,283","8,260,381,575",C 制造业
主板,000626,远大控股,1996-11-28,"506,626,864","503,712,771",F 批发零售
主板,000627,*ST天茂,1996-11-12,"4,904,139,165","4,516,014,165",J 金融业
主板,000628,高新发展,1996-11-18,"352,280,000","192,238,585",E 建筑业
主板,000629,钒钛股份,1996-11-15,"9,294,970,045","9,290,327,949",C 制造业
主板,000630,铜陵有色,1996-11-20,"12,931,197,835","10,664,737,775",C 制造业
主板,000631,顺发恒业,1996-11-22,"2,395,279,084","2,395,279,084",K 房地产
主板,000632,三木集团,1996-11-21,"465,519,570","465,481,606",F 批发零售
主板,000633,合金投资,1996-11-12,"385,106,373","385,106,373",C 制造业
主板,000635,英 力 特,1996-11-20,"394,532,758","303,084,677",C 制造业
主板,000636,风华高科,1996-11-29,"1,157,013,211","1,157,013,211",C 制造业
主板,000637,茂化实华,1996-11-14,"519,875,356","367,956,005",C 制造业
主板,000638,*ST万方,1996-11-26,"311,386,551","310,145,601",I 信息技术
主板,000639,西王食品,1996-11-26,"1,079,428,095","1,079,426,772",C 制造业
主板,000650,仁和药业,1996-12-10,"1,399,938,234","1,331,385,834",C 制造业
主板,000651,格力电器,1996-11-18,"5,601,405,741","5,521,651,475",C 制造业
主板,000652,泰达股份,1996-11-28,"1,475,573,852","1,474,462,359",F 批发零售
主板,000655,金岭矿业,1996-11-28,"595,340,230","595,340,230",B 采矿业
主板,000656,*ST金科,1996-11-28,"5,339,715,816","5,315,783,940",K 房地产
主板,000657,中钨高新,1996-12-05,"2,278,954,380","1,253,777,063",C 制造业
主板,000659,珠海中富,1996-12-03,"1,285,702,520","1,285,702,520",C 制造业
主板,000661,长春高新,1996-12-18,"407,937,529","399,623,606",C 制造业
主板,000663,永安林业,1996-12-06,"336,683,929","306,301,196",A 农林牧渔
主板,000665,湖北广电,1996-12-10,"1,137,149,495","1,137,119,780",I 信息技术
主板,000668,*ST荣控,1996-12-10,"146,841,890","146,841,890",K 房地产
主板,000669,ST金鸿,1996-12-10,"680,408,797","680,404,397",D 水电煤气
主板,000670,盈方微,1996-12-17,"839,489,360","816,626,960",F 批发零售
主板,000672,上峰水泥,1996-12-18,"969,395,450","969,395,450",C 制造业
主板,000676,智度股份,1996-12-24,"1,265,289,215","1,264,528,532",L 商务服务
主板,000677,恒天海龙,1996-12-26,"863,977,948","863,977,892",C 制造业
主板,000678,襄阳轴承,1997-01-06,"459,611,797","459,611,797",C 制造业
主板,000679,大连友谊,1997-01-24,"356,400,000","356,400,000",F 批发零售
主板,000680,山推股份,1997-01-22,"1,500,142,612","1,314,694,304",C 制造业
主板,000681,视觉中国,1997-01-21,"700,577,436","676,102,568",I 信息技术
主板,000682,东方电子,1997-01-21,"1,340,727,007","1,340,556,689",I 信息技术
主板,000683,博源化工,1997-01-31,"3,718,739,060","3,319,892,023",C 制造业
主板,000685,中山公用,1997-01-23,"1,475,111,351","1,253,962,161",D 水电煤气
主板,000686,东北证券,1997-02-27,"2,340,452,915","2,340,452,915",J 金融业
主板,000688,国城矿业,1997-01-20,"1,125,397,021","1,125,392,701",B 采矿业
主板,000690,宝新能源,1997-01-28,"2,175,887,862","2,174,468,450",D 水电煤气
主板,000691,*ST亚太,1997-02-28,"323,270,000","323,270,000",C 制造业
主板,000692,惠天热电,1997-02-27,"532,832,976","532,832,176",D 水电煤气
主板,000695,滨海能源,1997-02-18,"222,147,539","221,720,364",C 制造业
主板,000697,ST炼石,1997-03-25,"873,100,876","590,896,429",C 制造业
主板,000698,沈阳化工,1997-02-20,"819,514,395","785,714,395",C 制造业
主板,000700,模塑科技,1997-02-28,"918,015,389","918,014,889",C 制造业
主板,000701,厦门信达,1997-02-26,"675,807,106","667,603,556",F 批发零售
主板,000702,正虹科技,1997-03-18,"346,624,948","266,634,576",C 制造业
主板,000703,恒逸石化,1997-03-28,"3,602,618,009","3,583,650,509",C 制造业
主板,000705,浙江震元,1997-04-10,"334,123,286","281,960,376",F 批发零售
主板,000707,双环科技,1997-04-15,"584,717,193","464,145,765",C 制造业
主板,000708,中信特钢,1997-03-26,"5,047,157,741","5,047,157,741",C 制造业
主板,000709,河钢股份,1997-04-16,"10,337,121,092","10,335,412,398",C 制造业
主板,000710,贝瑞基因,1997-04-22,"353,521,465","329,529,923",M 科研服务
主板,000711,*ST京蓝,1997-04-11,"2,856,976,223","2,285,750,985",N 公共环保
主板,000712,锦龙股份,1997-04-15,"896,000,000","895,734,125",J 金融业
主板,000713,国投丰乐,1997-04-22,"614,014,980","614,014,980",A 农林牧渔
主板,000715,中兴商业,1997-05-08,"540,434,622","486,299,621",F 批发零售
主板,000716,黑芝麻,1997-04-18,"753,489,550","735,788,837",C 制造业
主板,000717,中南股份,1997-05-08,"2,423,845,590","2,423,560,965",C 制造业
主板,000718,苏宁环球,1997-04-08,"3,034,636,384","2,282,494,897",K 房地产
主板,000719,中原传媒,1997-03-31,"1,023,203,749","667,147,543",R 文化传播
主板,000720,新能泰山,1997-05-09,"1,256,531,571","1,256,531,571",K 房地产
主板,000721,西安饮食,1997-04-30,"573,914,308","512,360,308",H 住宿餐饮
主板,000722,湖南发展,1997-05-22,"464,158,282","464,158,282",D 水电煤气
主板,000723,美锦能源,1997-05-15,"4,403,479,478","4,396,248,108",C 制造业
主板,000725,京东方Ａ,2001-01-12,"36,720,996,337","36,706,817,496",C 制造业
主板,000726,鲁  泰Ａ,2000-12-25,"591,180,598","588,697,956",C 制造业
主板,000727,冠捷科技,1997-05-20,"4,529,566,980","4,529,566,980",C 制造业
主板,000728,国元证券,1997-06-16,"4,363,777,891","4,363,777,891",J 金融业
主板,000729,燕京啤酒,1997-07-16,"2,818,539,341","2,509,606,667",C 制造业
主板,000731,四川美丰,1997-06-17,"558,829,131","558,825,931",C 制造业
主板,000733,振华科技,1997-07-03,"554,169,431","554,094,731",C 制造业
主板,000735,罗 牛 山,1997-06-11,"1,151,513,578","1,150,897,517",A 农林牧渔
主板,000736,*ST中地,1997-04-25,"747,098,401","721,266,045",K 房地产
主板,000737,北方铜业,1997-04-28,"1,904,716,435","1,904,538,160",C 制造业
主板,000738,航发控制,1997-06-26,"1,315,184,001","1,315,184,001",C 制造业
主板,000739,普洛药业,1997-05-09,"1,158,443,576","1,158,008,405",C 制造业
主板,000750,国海证券,1997-07-09,"6,386,174,477","5,796,203,977",J 金融业
主板,000751,锌业股份,1997-06-26,"1,615,630,595","1,409,868,779",C 制造业
主板,000752,ST西发,1997-06-25,"263,758,491","263,758,491",C 制造业
主板,000753,漳州发展,1997-06-26,"991,481,071","991,481,071",F 批发零售
主板,000755,山西高速,1997-06-27,"1,467,310,196","1,467,310,196",G 运输仓储
主板,000756,新华制药,1997-08-06,"494,776,535","492,623,924",C 制造业
主板,000757,浩物股份,1997-06-27,"532,716,095","532,716,095",F 批发零售
主板,000758,中色股份,1997-04-16,"1,990,552,530","1,976,139,170",B 采矿业
主板,000759,中百集团,1997-05-19,"669,971,694","655,706,025",F 批发零售
主板,000761,本钢板材,1998-01-15,"3,708,234,988","3,708,168,463",C 制造业
主板,000762,西藏矿业,1997-07-08,"521,174,140","520,800,618",B 采矿业
主板,000766,通化金马,1997-04-30,"966,494,707","966,007,681",C 制造业
主板,000767,晋控电力,1997-06-09,"3,076,942,219","2,912,246,436",D 水电煤气
主板,000768,中航西飞,1997-06-26,"2,781,149,071","2,772,691,231",C 制造业
主板,000776,广发证券,1997-06-11,"5,904,049,311","5,904,049,311",J 金融业
主板,000777,中核科技,1997-07-10,"383,417,593","383,409,702",C 制造业
主板,000778,新兴铸管,1997-06-06,"3,963,182,285","3,893,608,152",C 制造业
主板,000779,甘咨询,1997-05-28,"464,829,452","464,774,742",M 科研服务
主板,000782,恒申新材,1997-06-19,"686,581,509","528,135,152",C 制造业
主板,000783,长江证券,1997-07-31,"5,530,072,948","5,530,072,948",J 金融业
主板,000785,居然智家,1997-07-11,"6,227,048,814","5,897,593,464",L 商务服务
主板,000786,北新建材,1997-06-06,"1,689,507,842","1,634,955,466",C 制造业
主板,000788,北大医药,1997-06-16,"595,987,425","595,987,425",C 制造业
主板,000789,万年青,1997-09-23,"797,407,415","797,407,415",C 制造业
主板,000790,华神科技,1998-03-27,"623,719,364","622,614,614",C 制造业
主板,000791,甘肃能源,1997-10-14,"3,243,839,742","1,935,621,786",D 水电煤气
主板,000792,盐湖股份,1997-09-04,"5,291,572,541","5,291,541,746",C 制造业
主板,000793,ST华闻,1997-07-29,"1,997,245,457","1,961,008,615",R 文化传播
主板,000795,英洛华,1997-08-08,"1,133,684,103","1,133,684,103",C 制造业
主板,000796,凯撒旅业,1997-07-03,"1,603,788,916","1,330,761,935",L 商务服务
主板,000797,中国武夷,1997-07-15,"1,570,754,217","1,570,572,469",K 房地产
主板,000798,中水渔业,1998-02-12,"365,858,712","365,836,212",A 农林牧渔
主板,000799,酒鬼酒,1997-07-18,"324,928,980","324,897,480",C 制造业
主板,000800,一汽解放,1997-06-18,"4,921,280,975","4,920,860,683",C 制造业
主板,000801,四川九洲,1998-05-06,"1,022,806,646","1,022,806,646",C 制造业
主板,000802,北京文化,1998-01-08,"715,900,255","715,465,255",R 文化传播
主板,000803,山高环能,1998-03-03,"470,988,309","459,787,780",N 公共环保
主板,000807,云铝股份,1998-04-08,"3,467,957,405","3,467,921,051",C 制造业
主板,000809,和展能源,1998-06-16,"824,791,293","824,791,293",N 公共环保
主板,000810,创维数字,1998-06-02,"1,141,595,579","1,110,606,925",C 制造业
主板,000811,冰轮环境,1998-05-28,"992,638,145","969,577,423",C 制造业
主板,000812,陕西金叶,1998-06-23,"768,692,614","768,160,970",C 制造业
主板,000813,德展健康,1998-05-19,"2,097,105,540","2,096,760,540",C 制造业
主板,000815,美利云,1998-06-09,"695,263,035","695,263,035",C 制造业
主板,000816,智慧农业,1997-08-18,"1,447,013,318","1,436,930,472",C 制造业
主板,000818,航锦科技,1997-10-17,"660,000,039","658,211,439",C 制造业
主板,000819,岳阳兴长,1997-06-25,"369,697,506","365,178,145",C 制造业
主板,000820,*ST节能,1998-06-30,"646,555,179","296,966,877",M 科研服务
主板,000821,京山轻机,1998-06-26,"622,874,778","604,650,764",C 制造业
主板,000822,山东海化,1998-07-03,"895,091,926","895,091,926",C 制造业
主板,000823,超声电子,1997-10-08,"536,991,508","536,968,764",C 制造业
主板,000825,太钢不锈,1998-10-21,"5,696,247,796","5,696,247,796",C 制造业
主板,000826,启迪环境,1998-02-25,"1,425,353,248","1,425,172,959",N 公共环保
主板,000828,东莞控股,1997-06-17,"1,039,516,992","1,039,515,192",G 运输仓储
主板,000829,天音控股,1997-12-02,"1,025,100,438","1,024,129,669",F 批发零售
主板,000830,鲁西化工,1998-08-07,"1,904,319,011","1,904,168,929",C 制造业
主板,000831,中国稀土,1998-09-11,"1,061,220,807","1,061,220,807",C 制造业
主板,000833,粤桂股份,1998-11-11,"802,082,221","453,704,942",S 综合
主板,000837,秦川机床,1998-09-28,"1,020,005,837","1,007,403,337",C 制造业
主板,000838,财信发展,1997-06-26,"1,100,462,170","1,053,765,855",K 房地产
主板,000839,国安股份,1997-10-31,"3,919,826,352","3,919,826,352",I 信息技术
主板,000848,承德露露,1997-11-13,"1,052,554,074","1,042,554,074",C 制造业
主板,000850,华茂股份,1998-10-07,"943,665,009","943,396,879",C 制造业
主板,000851,*ST高鸿,1998-06-09,"1,157,860,020","1,132,136,826",F 批发零售
主板,000852,石化机械,1998-11-26,"955,967,689","945,738,786",C 制造业
主板,000856,冀东装备,1998-08-13,"227,000,000","227,000,000",C 制造业
主板,000858,五 粮 液,1998-04-27,"3,881,608,005","3,881,444,511",C 制造业
主板,000859,国风新材,1998-11-19,"895,976,271","895,925,271",C 制造业
主板,000860,顺鑫农业,1998-11-04,"741,766,989","741,766,989",C 制造业
主板,000862,银星能源,1998-09-15,"917,954,696","627,967,088",D 水电煤气
主板,000863,三湘印象,1997-09-25,"1,180,699,560","1,163,615,418",K 房地产
主板,000868,安凯客车,1997-07-25,"939,514,735","733,223,043",C 制造业
主板,000869,张  裕Ａ,2000-10-26,"459,820,693","455,104,295",C 制造业
主板,000875,吉电股份,2002-09-26,"3,627,270,626","3,342,404,367",D 水电煤气
主板,000876,新 希 望,1998-03-11,"4,502,571,417","4,499,000,583",C 制造业
主板,000877,天山股份,1999-01-07,"7,110,491,694","7,110,490,194",C 制造业
主板,000878,云南铜业,1998-06-02,"2,003,628,310","2,003,593,177",C 制造业
主板,000880,潍柴重机,1998-04-02,"331,320,600","162,162,000",C 制造业
主板,000881,中广核技,1998-09-02,"945,425,815","833,734,840",C 制造业
主板,000882,华联股份,1998-06-16,"2,737,351,947","2,735,514,266",L 商务服务
主板,000883,湖北能源,1998-05-19,"6,481,449,486","6,479,756,454",D 水电煤气
主板,000885,城发环境,1999-03-19,"642,078,255","642,078,255",N 公共环保
主板,000886,海南高速,1998-01-23,"988,828,300","977,836,898",K 房地产
主板,000887,中鼎股份,1998-12-03,"1,316,489,747","1,314,370,608",C 制造业
主板,000888,峨眉山Ａ,1997-10-21,"526,913,102","526,913,102",N 公共环保
主板,000889,中嘉博创,1997-12-18,"936,291,116","869,849,676",I 信息技术
主板,000890,法尔胜,1999-01-19,"419,503,968","419,491,046",C 制造业
主板,000892,欢瑞世纪,1999-01-15,"980,980,473","710,836,454",R 文化传播
